Parameters,Sens,PPV,PocNum_Mean,PocNum_Max
m2.8_M5.0_i35_D1.6,0.714,0.625,1.23,2
m3.2_M5.6_i35_D1.6,0.714,0.625,1.23,3
m3.2_M5.8_i40_D1.6,0.714,0.625,1.23,3
m2.6_M5.0_i40_D1.6,0.714,0.476,1.62,3
m2.6_M5.0_i35_D1.6,0.714,0.435,1.77,3
m3.4_M5.4_i25_D1.6,0.692,1,0.692,1
m3.4_M5.4_i35_D2.2,0.692,0.818,0.846,2
m3.4_M5.4_i35_D2.4,0.692,0.818,0.846,2
m3.4_M5.6_i40_D2.2,0.692,0.818,0.846,2
m3.4_M5.6_i30_D1.6,0.692,0.818,0.846,3
m3.4_M5.4_i30_D2.2,0.692,0.75,0.923,2
m3.4_M5.4_i30_D2.4,0.692,0.75,0.923,2
m3.4_M5.6_i40_D2.4,0.692,0.75,0.923,2
m3.4_M5.8_i40_D1.8,0.692,0.75,0.923,2
m2.8_M5.0_i40_D1.8,0.692,0.692,1,2
m3.0_M5.2_i40_D1.8,0.692,0.692,1,2
m3.2_M5.4_i40_D1.8,0.692,0.692,1,2
m3.4_M5.8_i30_D1.6,0.692,0.643,1.08,3
m2.8_M5.0_i35_D1.8,0.692,0.6,1.15,2
m3.0_M5.0_i25_D1.8,0.692,0.6,1.15,2
m3.0_M5.2_i40_D2.0,0.692,0.6,1.15,2
m3.0_M5.0_i25_D2.0,0.692,0.562,1.23,2
m3.0_M5.0_i25_D2.2,0.692,0.562,1.23,2
m3.0_M5.2_i40_D2.2,0.692,0.562,1.23,2
m3.0_M5.2_i40_D2.4,0.692,0.474,1.46,2
m3.0_M5.0_i25_D2.4,0.692,0.474,1.46,3
m2.8_M5.0_i30_D1.8,0.692,0.429,1.62,4
m2.8_M5.2_i40_D2.2,0.692,0.409,1.69,3
m2.8_M5.2_i40_D2.0,0.692,0.409,1.69,4
m2.8_M5.2_i35_D2.2,0.692,0.346,2,4
m2.6_M5.0_i40_D2.0,0.692,0.333,2.08,4
m2.6_M5.0_i40_D1.8,0.692,0.333,2.08,5
m2.8_M5.2_i35_D2.0,0.692,0.333,2.08,5
m2.6_M5.0_i40_D2.2,0.692,0.321,2.15,5
m2.6_M5.0_i35_D2.0,0.692,0.3,2.31,4
m2.8_M5.0_i25_D1.8,0.692,0.3,2.31,4
m2.6_M5.0_i35_D2.2,0.692,0.3,2.31,5
m2.6_M5.0_i35_D1.8,0.692,0.29,2.38,5
m2.6_M5.2_i40_D2.0,0.692,0.281,2.46,4
m2.6_M5.0_i40_D2.4,0.692,0.265,2.62,6
m2.6_M5.2_i40_D2.2,0.692,0.265,2.62,6
m2.8_M5.0_i25_D2.0,0.692,0.257,2.69,4
m2.8_M5.0_i25_D2.2,0.692,0.243,2.85,5
m2.6_M5.0_i30_D2.0,0.692,0.243,2.85,6
m2.6_M5.2_i35_D2.0,0.692,0.243,2.85,6
m2.6_M5.0_i30_D1.8,0.692,0.243,2.85,7
m2.6_M5.0_i30_D2.2,0.692,0.237,2.92,6
m2.6_M5.0_i35_D2.4,0.692,0.237,2.92,7
m2.8_M5.0_i25_D2.4,0.692,0.231,3,5
m3.4_M5.4_i30_D2.0,0.643,1,0.692,2
m3.4_M5.6_i40_D1.8,0.643,1,0.692,2
m2.8_M5.0_i40_D1.6,0.643,0.9,0.769,2
m3.0_M5.2_i40_D1.6,0.643,0.818,0.846,2
m3.2_M5.2_i35_D2.2,0.643,0.6,1.15,3
m3.2_M5.2_i30_D2.2,0.643,0.529,1.31,3
m3.4_M5.2_i25_D1.8,0.615,1,0.615,1
m3.4_M5.2_i25_D2.0,0.615,1,0.615,1
m3.4_M5.2_i25_D2.2,0.615,1,0.615,1
m3.4_M5.4_i30_D1.8,0.615,1,0.615,1
m3.4_M5.4_i35_D1.8,0.615,1,0.615,1
m3.4_M5.4_i35_D2.0,0.615,1,0.615,1
m3.4_M5.2_i25_D2.4,0.615,0.889,0.692,1
m3.2_M5.4_i40_D1.6,0.615,0.889,0.692,2
m3.2_M5.2_i35_D1.8,0.615,0.8,0.769,2
m3.4_M5.8_i40_D1.6,0.615,0.8,0.769,2
m3.2_M5.2_i35_D2.0,0.615,0.727,0.846,2
m3.2_M5.4_i35_D1.6,0.615,0.727,0.846,2
m3.4_M5.8_i35_D1.6,0.615,0.727,0.846,2
m3.0_M5.0_i40_D2.0,0.615,0.667,0.923,2
m3.2_M5.2_i30_D1.8,0.615,0.667,0.923,2
m3.0_M5.0_i35_D2.0,0.615,0.615,1,2
m3.0_M5.0_i40_D2.2,0.615,0.615,1,2
m3.0_M5.0_i40_D2.4,0.615,0.615,1,2
m3.0_M5.0_i30_D2.0,0.615,0.571,1.08,2
m3.0_M5.0_i30_D2.2,0.615,0.571,1.08,2
m3.0_M5.0_i30_D2.4,0.615,0.571,1.08,2
m3.0_M5.0_i35_D2.2,0.615,0.571,1.08,2
m3.0_M5.0_i35_D2.4,0.615,0.571,1.08,2
m3.2_M5.2_i30_D2.0,0.615,0.571,1.08,2
m3.2_M5.2_i35_D2.4,0.615,0.571,1.08,2
m2.8_M5.0_i40_D2.0,0.615,0.533,1.15,2
m3.2_M5.2_i30_D2.4,0.615,0.5,1.23,2
m2.8_M5.0_i35_D2.0,0.615,0.471,1.31,2
m2.8_M5.0_i40_D2.2,0.615,0.471,1.31,3
m2.8_M5.0_i35_D2.2,0.615,0.421,1.46,3
m2.8_M5.0_i40_D2.4,0.615,0.4,1.54,5
m2.8_M5.0_i30_D2.2,0.615,0.348,1.77,4
m2.8_M5.0_i30_D2.0,0.615,0.333,1.85,4
m2.8_M5.0_i35_D2.4,0.615,0.333,1.85,5
m2.8_M5.0_i30_D2.4,0.615,0.32,1.92,5
m3.2_M5.0_i20_D1.6,0.6,0.818,0.846,3
m3.2_M5.2_i30_D1.6,0.6,0.75,0.923,3
m3.2_M5.0_i25_D1.6,0.571,0.889,0.692,2
m3.2_M5.2_i40_D2.2,0.571,0.889,0.692,2
m3.0_M5.0_i30_D1.6,0.571,0.8,0.769,2
m3.2_M5.2_i40_D1.8,0.538,1,0.538,1
m3.4_M5.2_i25_D1.6,0.538,1,0.538,1
m3.4_M5.6_i35_D1.6,0.538,1,0.538,1
m3.2_M5.2_i35_D1.6,0.538,0.875,0.615,1
m3.2_M5.2_i40_D2.0,0.538,0.875,0.615,1
m3.0_M5.0_i35_D1.6,0.538,0.875,0.615,2
m3.0_M5.0_i40_D1.6,0.538,0.875,0.615,2
m3.4_M5.4_i40_D2.4,0.538,0.875,0.615,2
m3.2_M5.2_i40_D2.4,0.538,0.778,0.692,1
m3.0_M5.0_i40_D1.8,0.538,0.778,0.692,2
m3.2_M5.0_i25_D1.8,0.538,0.778,0.692,2
m3.2_M5.0_i30_D2.4,0.538,0.778,0.692,2
m3.0_M5.0_i35_D1.8,0.538,0.7,0.769,2
m3.2_M5.0_i25_D2.0,0.538,0.7,0.769,2
m3.2_M5.0_i25_D2.2,0.538,0.7,0.769,2
m3.0_M5.0_i30_D1.8,0.538,0.636,0.846,2
m3.2_M5.0_i25_D2.4,0.538,0.636,0.846,2
m3.2_M5.0_i20_D1.8,0.538,0.583,0.923,2
m3.2_M5.0_i20_D2.0,0.538,0.538,1,2
m3.2_M5.0_i20_D2.2,0.538,0.538,1,2
m3.2_M5.0_i20_D2.4,0.538,0.467,1.15,3
m3.2_M5.0_i30_D1.6,0.462,1,0.462,1
m3.2_M5.2_i40_D1.6,0.462,1,0.462,1
m3.4_M5.2_i30_D1.8,0.462,1,0.462,1
m3.4_M5.2_i30_D2.0,0.462,1,0.462,1
m3.4_M5.2_i30_D2.2,0.462,1,0.462,1
m3.4_M5.2_i30_D2.4,0.462,1,0.462,1
m3.4_M5.2_i35_D2.4,0.462,1,0.462,1
m3.4_M5.4_i30_D1.6,0.462,1,0.462,1
m3.4_M5.4_i35_D1.6,0.462,1,0.462,1
m3.4_M5.4_i40_D1.6,0.462,1,0.462,1
m3.4_M5.4_i40_D1.8,0.462,1,0.462,1
m3.4_M5.4_i40_D2.0,0.462,1,0.462,1
m3.4_M5.6_i40_D1.6,0.462,1,0.462,1
m3.2_M5.0_i30_D1.8,0.462,0.857,0.538,1
m3.2_M5.0_i30_D2.0,0.462,0.857,0.538,1
m3.4_M5.4_i40_D2.2,0.462,0.857,0.538,2
m3.2_M5.0_i30_D2.2,0.462,0.75,0.615,2
m3.4_M5.2_i30_D1.6,0.385,1,0.385,1
m3.4_M5.2_i35_D1.6,0.385,1,0.385,1
m3.4_M5.2_i35_D1.8,0.385,1,0.385,1
m3.4_M5.2_i35_D2.0,0.385,1,0.385,1
m3.4_M5.2_i35_D2.2,0.385,1,0.385,1
m3.2_M5.0_i35_D2.4,0.385,0.833,0.462,1
m3.2_M5.0_i40_D2.4,0.385,0.833,0.462,1
m3.2_M5.0_i35_D1.6,0.308,1,0.308,1
m3.2_M5.0_i35_D1.8,0.308,1,0.308,1
m3.2_M5.0_i35_D2.0,0.308,1,0.308,1
m3.2_M5.0_i35_D2.2,0.308,1,0.308,1
m3.2_M5.0_i40_D1.8,0.308,1,0.308,1
m3.2_M5.0_i40_D2.0,0.308,1,0.308,1
m3.2_M5.0_i40_D2.2,0.308,1,0.308,1
m3.4_M5.0_i20_D1.6,0.308,1,0.308,1
m3.4_M5.0_i20_D1.8,0.308,1,0.308,1
m3.4_M5.0_i20_D2.0,0.308,1,0.308,1
m3.4_M5.0_i20_D2.2,0.308,1,0.308,1
m3.4_M5.0_i20_D2.4,0.308,1,0.308,1
m3.4_M5.2_i40_D2.2,0.308,1,0.308,1
m3.4_M5.2_i40_D2.4,0.308,1,0.308,1
m3.2_M5.0_i40_D1.6,0.231,1,0.231,1
m3.4_M5.0_i25_D1.8,0.231,1,0.231,1
m3.4_M5.0_i25_D2.0,0.231,1,0.231,1
m3.4_M5.0_i25_D2.2,0.231,1,0.231,1
m3.4_M5.0_i25_D2.4,0.231,1,0.231,1
m3.4_M5.2_i40_D1.8,0.231,1,0.231,1
m3.4_M5.2_i40_D2.0,0.231,1,0.231,1
m3.4_M5.0_i25_D1.6,0.154,1,0.154,1
m3.4_M5.2_i40_D1.6,0.154,1,0.154,1
m3.4_M5.0_i30_D1.8,0.0769,1,0.0769,1
m3.4_M5.0_i30_D2.0,0.0769,1,0.0769,1
m3.4_M5.0_i30_D2.2,0.0769,1,0.0769,1
m3.4_M5.0_i30_D2.4,0.0769,1,0.0769,1
m3.4_M5.0_i35_D1.8,0.0769,1,0.0769,1
m3.4_M5.0_i35_D2.0,0.0769,1,0.0769,1
m3.4_M5.0_i35_D2.2,0.0769,1,0.0769,1
m3.4_M5.0_i35_D2.4,0.0769,1,0.0769,1
m3.4_M5.0_i40_D2.4,0.0769,1,0.0769,1
